# Matter power spectrum P(k) at redshift z=0
# for k=2.09468e-07 to 54.0596 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.094683652654e-07       1.103831898908e+00 
       8.591411595249e-07       4.308584428319e+00 
       1.508818041572e-06       7.418608358980e+00 
       2.158503447573e-06       1.048044419091e+01 
       2.808201813855e-06       1.350965166448e+01 
       3.457917577007e-06       1.651421251478e+01 
       4.107655173977e-06       1.949900284040e+01 
       4.757419042176e-06       2.246731532062e+01 
       5.407213619581e-06       2.542152475609e+01 
       6.057043344830e-06       2.836342615224e+01 
       6.706912657329e-06       3.129442487800e+01 
       7.356825997350e-06       3.421565187487e+01 
       8.006787806134e-06       3.712803754140e+01 
       8.656802525988e-06       4.003236129818e+01 
       9.306874600393e-06       4.292928607740e+01 
       9.957008474099e-06       4.581938306196e+01 
       1.060720859323e-05       4.870314989111e+01 
       1.125747940538e-05       5.158102435454e+01 
       1.190782535972e-05       5.445339489036e+01 
       1.255825090711e-05       5.732060876713e+01 
       1.320876050017e-05       6.018297855500e+01 
       1.385935859340e-05       6.304078731041e+01 
       1.451004964330e-05       6.589429277871e+01 
       1.516083810844e-05       6.874373083655e+01 
       1.581172844958e-05       7.158931833832e+01 
       1.646272512975e-05       7.443125549020e+01 
       1.711383261439e-05       7.726972784570e+01 
       1.776505537143e-05       8.010490799535e+01 
       1.841639787138e-05       8.293695700682e+01 
       1.906786458744e-05       8.576602565985e+01 
       1.971945999563e-05       8.859225551130e+01 
       2.037118857485e-05       9.141577981855e+01 
       2.102305480702e-05       9.423672434397e+01 
       2.167506317714e-05       9.705520805902e+01 
       2.232721817344e-05       9.987134376319e+01 
       2.297952428745e-05       1.026852386302e+02 
       2.363198601412e-05       1.054969946919e+02 
       2.428460785190e-05       1.083067092685e+02 
       2.493739430288e-05       1.111144753521e+02 
       2.559034987285e-05       1.139203819506e+02 
       2.624347907145e-05       1.167245143952e+02 
       2.689678641224e-05       1.195269546186e+02 
       2.755027641282e-05       1.223277814047e+02 
       2.820395359490e-05       1.251270706158e+02 
       2.885782248446e-05       1.279248953978e+02 
       2.951188761182e-05       1.307213263669e+02 
       3.016615351175e-05       1.335164317805e+02 
       3.082062472356e-05       1.363102776919e+02 
       3.147530579124e-05       1.391029280934e+02 
       3.213020126354e-05       1.418944450460e+02 
       3.278531569406e-05       1.446848887999e+02 
       3.344065364140e-05       1.474743179042e+02 
       3.409621966922e-05       1.502627893089e+02 
       3.475201834638e-05       1.530503584585e+02 
       3.540805424701e-05       1.558370793790e+02 
       3.606433195067e-05       1.586230047580e+02 
       3.672085604238e-05       1.614081860197e+02 
       3.737763111281e-05       1.641926733934e+02 
       3.803466175831e-05       1.669765159786e+02 
       3.869195258109e-05       1.697597618046e+02 
       3.934950818926e-05       1.725424578867e+02 
       4.000733319697e-05       1.753246502782e+02 
